Variable,Units,Description
TIMEKEEPING,,
TIMESTAMP,YYYYMMDDHHMM,ISO timestamp - short format
TIMESTAMP_START,YYYYMMDDHHMM,ISO timestamp start of averaging period - short format
TIMESTAMP_END,YYYYMMDDHHMM,ISO timestamp end of averaging period - short format
,,
MICROMETEOROLOGICAL,,
TA_F_MDS,,"Air temperature, gapfilled using MDS method"
HH,deg C,
DD,deg C,average from half-hourly data
WW-YY,deg C,average from daily data
TA_F_MDS_QC,,Quality flag for TA_F_MDS
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
TA_F_MDS_NIGHT,,Average nighttime TA_F_MDS
HH,,not available
DD,deg C,average from half-hourly data
WW-YY,deg C,average from daily data
TA_F_MDS_NIGHT_SD,,Standard deviation for TA_F_MDS_NIGHT
HH,,not available
DD,deg C,from half-hourly data
WW-YY,deg C,average SD from daily data
TA_F_MDS_NIGHT_QC,,Quality flag for TA_F_MDS_NIGHT
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
TA_F_MDS_DAY,,Average daytime TA_F_MDS
HH,,not available
DD,deg C,average from half-hourly data
WW-YY,deg C,average from daily data
TA_F_MDS_DAY_SD,,Standard deviation for TA_F_MDS_DAY
HH,,not available
DD,deg C,from half-hourly data
WW-YY,deg C,average SD from daily data
TA_F_MDS_DAY_QC,,Quality flag for TA_F_MDS_DAY
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
TA_ERA,,"Air temperature, downscaled from ERA, linearly regressed using measured only site data"
HH,deg C,
DD,deg C,average from half-hourly data
WW-YY,deg C,average from daily data
TA_ERA_NIGHT,,Average nighttime TA_ERA
HH,,not available
DD,deg C,average from half-hourly data
WW-YY,deg C,average from daily data
TA_ERA_NIGHT_SD,,Standard deviation for TA_ERA_NIGHT
HH,,not available
DD,deg C,from half-hourly data
WW-YY,deg C,average SD from daily data
TA_ERA_DAY,,Average daytime TA_ERA
HH,,not available
DD,deg C,average from half-hourly data
WW-YY,deg C,average from daily data
TA_ERA_DAY_SD,,Standard deviation for TA_ERA_DAY
HH,,not available
DD,deg C,from half-hourly data
WW-YY,deg C,average SD from daily data
TA_F,,"Air temperature, consolidated from TA_F_MDS and TA_ERA"
HH,deg C,TA_F_MDS used if TA_F_MDS_QC is 0 or 1
DD,deg C,average from half-hourly data
WW-YY,deg C,average from daily data
TA_F_QC,,Quality flag for TA_F
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
TA_F_NIGHT,,Average nighttime TA_F
HH,,not available
DD,deg C,average from half-hourly data
WW-YY,deg C,average from daily data
TA_F_NIGHT_SD,,Standard deviation for TA_F_NIGHT
HH,,not available
DD,deg C,from half-hourly data
WW-YY,deg C,average SD from daily data
TA_F_NIGHT_QC,,Quality flag for TA_F_NIGHT
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
TA_F_DAY,,Average daytime TA_F
HH,,not available
DD,deg C,average from half-hourly data
WW-YY,deg C,average from daily data
TA_F_DAY_SD,,Standard deviation for TA_F_DAY
HH,,not available
DD,deg C,from half-hourly data
WW-YY,deg C,average SD from daily data
TA_F_DAY_QC,,Quality flag for TA_F_DAY
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
SW_IN_POT,,"Shortwave radiation, incoming, potential (top of atmosphere)"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-MM,W m-2,average from daily data
YY,,not available
SW_IN_F_MDS,,"Shortwave radiation, incoming, gapfilled using MDS (negative values set to zero, e.g., negative values from instrumentation noise)"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
SW_IN_F_MDS_QC,,Quality flag for SW_IN_F_MDS
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
SW_IN_ERA,,"Shortwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data (negative values set to zero)"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
SW_IN_F,,"Shortwave radiation, incoming consolidated from SW_IN_F_MDS and SW_IN_ERA (negative values set to zero)"
HH,W m-2,SW_IN_F_MDS used if SW_IN_F_MDS_QC is 0 or 1
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
SW_IN_F_QC,,Quality flag for SW_IN_F
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
LW_IN_F_MDS,,"Longwave radiation, incoming, gapfilled using MDS"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
LW_IN_F_MDS_QC,,Quality flag for LW_IN_F_MDS
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
LW_IN_ERA,,"Longwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
LW_IN_F,,"Longwave radiation, incoming, consolidated from LW_IN_F_MDS and LW_IN_ERA"
HH,W m-2,LW_IN_F_MDS used if LW_IN_F_MDS_QC is 0 or 1
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
LW_IN_F_QC,,Quality flag for LW_IN_F
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
LW_IN_JSB,,"Longwave radiation, incoming, calculated from TA_F_MDS, SW_IN_F_MDS, VPD_F_MDS and SW_IN_POT using the JSBACH algorithm (Sonke Zaehle)"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
LW_IN_JSB_QC,,Quality flag for LW_IN_JSB
HH,nondimensional,"highest from TA_F_MDS_QC, SW_IN_F_MDS_QC, and VPD_F_MDS_QC, poorest quality prevails"
DD,nondimensional,"fraction between 0-1, indicating percentage of calculated LW_IN starting from measured and good quality gapfill drivers data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage ofcalculated LW_IN starting from measured and good quality gapfill drivers data (average from daily data)"
LW_IN_JSB_ERA,,"Longwave radiation, incoming, downscaled from ERA, linearly regressed using site level LW_IN_JSB calculated from measured only drivers"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
LW_IN_JSB_F,,"Longwave radiation, incoming, consolidated from LW_IN_JSB and LW_IN_JSB_ERA"
HH,W m-2,LW_IN_JSB used if LW_IN_JSB_QC is 0 or 1
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
LW_IN_JSB_F_QC,,Quality flag for LW_IN_JSB_F
HH,nondimensional,0 = calculated from measured drivers; 1 = calculated from good quality gapfilled drivers; 2: downscaled from ERA
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
VPD_F_MDS,,"Vapor Pressure Deficit, gapfilled using MDS"
HH,hPa,
DD,hPa,average from half-hourly data
WW-YY,hPa,average from daily data
VPD_F_MDS_QC,,Quality flag for VPD_F_MDS
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
VPD_ERA,,"Vapor Pressure Deficit, downscaled from ERA, linearly regressed using measured only site data"
HH,hPa,
DD,hPa,average from half-hourly data
WW-YY,hPa,average from daily data
VPD_F,,Vapor Pressure Deficit consolidated from VPD_F_MDS and VPD_ERA
HH,hPa,VPD_F_MDS used if VPD_F_MDS_QC is 0 or 1
DD,hPa,average from half-hourly data
WW-YY,hPa,average from daily data
VPD_F_QC,,Quality flag for VPD_F
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = downscaled from ERA
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
PA,,Atmospheric pressure
HH,kPa,
DD-YY,,not available
PA_ERA,,"Atmospheric pressure, downscaled from ERA, linearly regressed using measured only site data"
HH,kPa,
DD,kPa,average from half-hourly data
WW-YY,kPa,average from daily data
PA_F,,Atmospheric pressure consolidated from PA and PA_ERA
HH,kPa,PA used if measured
DD,kPa,average from half-hourly data
WW-YY,kPa,average from daily data
PA_F_QC,,Quality flag for PA_F
HH,nondimensional,0 = measured; 2 = downscaled from ERA
DD,nondimensional,"fraction between 0-1, indicating percentage of measured data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured data (average from daily data)"
P,,Precipitation
HH,mm,
DD-YY,,not available
P_ERA,,"Precipitation, downscaled from ERA, linearly regressed using measured only site data"
HH,mm,(mm per dataset resolution: either hour or half-hour)
DD,mm d-1,sum from half-hourly data (mm per day)
WW-MM,mm d-1,average from daily data (mm per day)
YY,mm y-1,sum from daily data (mm per year)
P_F,,Precipitation consolidated from P and P_ERA
HH,mm,P used if measured (mm per dataset resolution: either hour or half-hour)
DD,mm d-1,sum from half-hourly data (mm per day)
WW-MM,mm d-1,average from daily data (mm per day)
YY,mm y-1,sum from daily data (mm per year)
P_F_QC,,Quality flag for P_F
HH,nondimensional,0 = measured; 2 = downscaled from ERA
DD,nondimensional,"fraction between 0-1, indicating percentage of measured data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured data (average from daily data)"
WS,,Wind speed
HH,m s-1,
DD-YY,,not available
WS_ERA,,"Wind speed, downscaled from ERA, linearly regressed using measured only site data"
HH,m s-1,
DD,m s-1,average from half-hourly data
WW-YY,m s-1,average from daily data
WS_F,,"Wind speed, consolidated from WS and WS_ERA"
HH,m s-1,WS used if measured
DD,m s-1,average from half-hourly data
WW-YY,m s-1,average from daily data
WS_F_QC,,Quality flag of WS_F
HH,nondimensional,0 = measured; 2 = downscaled from ERA
DD,nondimensional,"fraction between 0-1, indicating percentage of measured data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured data (average from daily data)"
WD,,Wind direction
HH,Decimal degrees,
DD-YY,,not available
RH,,"Relative humidity, range 0-100"
HH,%,
DD-YY,,not available
USTAR,,Friction velocity
HH,m s-1,
DD,m s-1,average from half-hourly data (only days with more than 50% records available)
WW-YY,m s-1,average from daily data (only periods with more than 50% records available)
USTAR_QC,,Quality flag of USTAR
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
NETRAD,,Net radiation
HH,W m-2,
DD,W m-2,average from half-hourly data (only days with more than 50% records available)
WW-YY,W m-2,average from daily data (only periods with more than 50% records available)
NETRAD_QC,,Quality flag of NETRAD
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
PPFD_IN,,"Photosynthetic photon flux density, incoming"
HH,µmolPhoton m-2 s-1,
DD,µmolPhoton m-2 s-1,average from half-hourly data (only days with more than 50% records available)
WW-YY,µmolPhoton m-2 s-1,average from daily data (only periods with more than 50% records available)
PPFD_IN_QC,,Quality flag of PPFD_IN
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
PPFD_DIF,,"Photosynthetic photon flux density, diffuse incoming"
HH,µmolPhoton m-2 s-1,
DD,µmolPhoton m-2 s-1,average from half-hourly data (only days with more than 50% records available)
WW-YY,µmolPhoton m-2 s-1,average from daily data (only periods with more than 50% records available)
PPFD_DIF_QC,,Quality flag of PPFD_DIF
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
PPFD_OUT,,"Photosynthetic photon flux density, outgoing"
HH,µmolPhoton m-2 s-1,
DD,µmolPhoton m-2 s-1,average from half-hourly data (only days with more than 50% records available)
WW-YY,µmolPhoton m-2 s-1,average from daily data (only periods with more than 50% records available)
PPFD_OUT_QC,,Quality flag of PPFD_OUT
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
SW_DIF,,"Shortwave radiation, diffuse incoming"
HH,W m-2,
DD,W m-2,average from half-hourly data (only days with more than 50% records available)
WW-YY,W m-2,average from daily data (only periods with more than 50% records available)
SW_DIF_QC,,Quality flag of SW_DIF
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
SW_OUT,,"Shortwave radiation, outgoing"
HH,W m-2,
DD,W m-2,average from half-hourly data (only days with more than 50% records available)
WW-YY,W m-2,average from daily data (only periods with more than 50% records available)
SW_OUT_QC,,Quality flag of SW_OUT
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
LW_OUT,,"Longwave radiation, outgoing"
HH,W m-2,
DD,W m-2,average from half-hourly data (only days with more than 50% records available)
WW-YY,W m-2,average from daily data (only periods with more than 50% records available)
LW_OUT_QC,,Quality flag of LW_OUT
HH,,not available
DD,nondimensional,"fraction between 0-1, indicating percentage of data available (measured)"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of data available (average from daily data)"
CO2_F_MDS,,"CO2 mole fraction, gapfilled with MDS"
HH,µmolCO2 mol-1,
DD,µmolCO2 mol-1,average from half-hourly data
WW-YY,µmolCO2 mol-1,average from daily data
CO2_F_MDS_QC,,Quality flag for CO2_F_MDS
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
TS_F_MDS_#,,"Soil temperature, gapfilled with MDS (numeric index ""#"" increases with the depth, 1 is shallowest)"
HH,deg C,
DD,deg C,average from half-hourly data
WW-YY,deg C,average from daily data
TS_F_MDS_#_QC,,Quality flag for TS_F_MDS_#
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
SWC_F_MDS_#,,"Soil water content, gapfilled with MDS (numeric index ""#"" increases with the depth, 1 is shallowest)"
HH,%,
DD,%,average from half-hourly data
WW-YY,%,average from daily data
SWC_F_MDS_#_QC,,Quality flag for SWC_F_MDS_#
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
,,
ENERGY PROCESSING,,
G_F_MDS,,Soil heat flux
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
G_F_MDS_QC,,Quality flag of G_F_MDS
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
LE_F_MDS,,"Latent heat flux, gapfilled using MDS method"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
LE_F_MDS_QC,,"Quality flag for LE_F_MDS, LE_CORR, LE_CORR25, and LE_CORR75."
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
LE_CORR,,"Latent heat flux, corrected LE_F_MDS by energy balance closure correction factor"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
LE_CORR_25,,"Latent heat flux, corrected LE_F_MDS by energy balance closure correction factor, 25th percentile"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,,not available
LE_CORR_75,,"Latent heat flux, corrected LE_F_MDS by energy balance closure correction factor, 75th percentile"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,,not available
LE_RANDUNC,,"Random uncertainty of LE, from measured only data"
HH,W m-2,uses only data point where LE_F_MDS_QC is 0 and two hierarchical methods (see header and LE_RANDUNC_METHOD)
DD-YY,W m-2,"from random uncertainty of individual half-hours (rand(i)) = [SQRT(SUM(rand(i)^2)) / n], where n is the number of half-hours used"
LE_RANDUNC_METHOD,,Method used to estimate the random uncertainty of LE
HH,nondimensional,"1 = RANDUNC Method 1 (direct SD method), 2 = RANDUNC Method 2 (median SD method)"
DD-YY,,not available
LE_RANDUNC_N,,Number of half-hour data points used to estimate the random uncertainty of LE
HH,nondimensional,
DD-YY,,not available
LE_CORR_JOINTUNC,,Joint uncertainty estimation for LE
HH-DD,W m-2,[SQRT(LE_RANDUNC^2 + ((LE_CORR75 - LE_CORR25) / 1.349)^2)]
WW-YY,,not available
H_F_MDS,,"Sensible heat flux, gapfilled using MDS method"
HH,W m-2,
DD,W m-2,average from half-hourly data
WW-YY,W m-2,average from daily data
H_F_MDS_QC,,"Quality flag for H_F_MDS, H_CORR, H_CORR25, and H_CORR75."
HH,nondimensional,0 = measured; 1 = good quality gapfill; 2 = medium; 3 = poor
DD,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data"
WW-YY,nondimensional,"fraction between 0-1, indicating percentage of measured and good quality gapfill data (average from daily data)"
